,id_cliente,Churn,cliente.genero,cliente.idoso,cliente.parceiro,cliente.dependentes,cliente.tempo_servico,telefone.servico_telefone,telefone.varias_linhas,internet.servico_internet,internet.seguranca_online,internet.backup_online,internet.protecao_dispositivo,internet.suporte_tecnico,internet.tv_streaming,internet.filmes_streaming,conta.contrato,conta.faturamente_eletronico,conta.metodo_pagamento,conta.cobranca.mensal,conta.cobranca.Total
1611,2359-KMGLI,sim,masculino,0,nao,nao,24.0,sim,sim,fibra otica,nao,sim,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,80.25,1861.5
1612,2359-QWQUL,sim,feminino,0,sim,nao,39.0,sim,nao,fibra otica,sim,nao,sim,sim,sim,sim,um ano,sim,cartao de credito (automatico),104.7,4134.85
1613,2360-RDGRO,nao,masculino,0,sim,nao,65.0,sim,sim,fibra otica,sim,nao,sim,nao,sim,sim,mes a mes,sim,cheque eletronico,104.25,6812.95
1614,2361-FJWNO,nao,masculino,0,nao,nao,40.0,nao,sem servico de telefone,DSL,nao,sim,nao,sim,nao,nao,um ano,nao,cartao de credito (automatico),36.0,1382.9
1615,2361-UPSND,nao,feminino,0,sim,nao,46.0,sim,nao,DSL,sim,sim,nao,sim,nao,sim,um ano,nao,cheque pelo correio,70.6,3231.05
1616,2362-IBOOY,sim,masculino,0,nao,nao,36.0,sim,sim,fibra otica,nao,nao,nao,nao,nao,sim,mes a mes,sim,cheque eletronico,84.75,3050.15
1617,2363-BJLSL,nao,masculino,0,nao,nao,62.0,sim,nao,DSL,nao,sim,sim,sim,sim,sim,mes a mes,sim,transferencia bancaria (automatica),80.4,4981.15
1618,2364-UFROM,nao,masculino,0,nao,nao,30.0,sim,nao,DSL,sim,sim,nao,sim,sim,nao,um ano,nao,cheque eletronico,70.4,2044.75
1619,2368-GAKKQ,nao,feminino,0,nao,nao,70.0,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,dois anos,sim,transferencia bancaria (automatica),113.65,7939.25
1620,2369-FEVNO,nao,masculino,0,nao,nao,1.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,sim,cheque pelo correio,19.9,19.9
1621,2369-UAPKZ,sim,masculino,0,nao,nao,5.0,sim,sim,fibra otica,nao,sim,sim,nao,sim,sim,mes a mes,nao,cheque pelo correio,104.1,541.9
1622,2371-JQHZZ,nao,masculino,0,sim,nao,24.0,sim,sim,fibra otica,nao,nao,nao,nao,sim,sim,mes a mes,sim,cheque eletronico,93.0,2248.05
1623,2371-JUNGC,nao,masculino,0,nao,nao,11.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,nao,cheque pelo correio,20.25,208.0
1624,2371-KFUOG,nao,masculino,0,nao,nao,58.0,sim,nao,fibra otica,sim,sim,nao,nao,sim,sim,um ano,nao,transferencia bancaria (automatica),99.15,5720.95
1625,2372-HWUHI,sim,masculino,0,nao,nao,2.0,sim,nao,DSL,nao,nao,nao,nao,nao,nao,mes a mes,nao,cheque eletronico,44.35,81.25
1626,2373-NTKOD,nao,masculino,0,nao,nao,8.0,sim,nao,DSL,nao,nao,nao,nao,sim,sim,mes a mes,sim,cheque eletronico,66.25,546.45
1627,2378-HTWFW,nao,masculino,1,nao,nao,35.0,sim,sim,fibra otica,sim,nao,nao,nao,nao,sim,mes a mes,nao,cartao de credito (automatico),91.0,3180.5
1628,2378-VTKDH,nao,masculino,1,sim,nao,65.0,sim,sim,fibra otica,nao,sim,sim,nao,sim,sim,mes a mes,sim,cheque eletronico,104.35,6578.55
1629,2378-YIZKA,nao,feminino,0,sim,sim,68.0,sim,nao,DSL,sim,sim,sim,sim,sim,sim,dois anos,sim,cartao de credito (automatico),85.0,5607.75
1630,2379-ENZGV,sim,masculino,0,nao,nao,6.0,sim,nao,fibra otica,nao,sim,nao,nao,sim,nao,mes a mes,sim,cheque eletronico,84.85,523.5
1631,2379-GYFLQ,nao,masculino,0,nao,nao,46.0,sim,sim,fibra otica,nao,sim,sim,nao,sim,nao,um ano,sim,cartao de credito (automatico),94.9,4422.95
1632,2380-DAMQP,nao,feminino,0,sim,nao,72.0,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,dois anos,nao,cheque eletronico,115.15,8349.7
1633,2382-BCKQJ,sim,feminino,0,nao,sim,62.0,sim,sim,fibra otica,nao,nao,sim,nao,sim,sim,um ano,sim,cheque eletronico,100.15,6413.65
1634,2384-OVPSA,nao,feminino,1,nao,nao,38.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,nao,cheque pelo correio,20.2,735.9
1635,2386-LAHRK,sim,masculino,0,nao,nao,1.0,sim,nao,DSL,nao,nao,nao,nao,sim,nao,mes a mes,sim,cheque pelo correio,53.5,53.5
1636,2386-OWURY,nao,feminino,0,nao,nao,58.0,sim,nao,fibra otica,nao,nao,nao,sim,sim,sim,mes a mes,sim,cheque eletronico,95.3,5817.7
1637,2387-KDZQY,nao,masculino,0,nao,nao,17.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,um ano,sim,cheque pelo correio,20.1,279.5
1638,2388-LAESQ,nao,feminino,1,sim,nao,72.0,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,dois anos,sim,transferencia bancaria (automatica),114.85,8317.95
1639,2391-IPLOP,nao,masculino,0,sim,sim,50.0,sim,sim,DSL,nao,nao,sim,sim,sim,nao,um ano,sim,cheque eletronico,69.65,3442.15
1640,2391-SOORI,sim,masculino,0,nao,sim,4.0,sim,nao,DSL,sim,nao,nao,nao,nao,nao,mes a mes,nao,cheque eletronico,49.35,219.65
1641,2393-DIVAI,nao,feminino,0,nao,nao,3.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,sim,cheque pelo correio,20.0,61.7
1642,2397-BRLOM,sim,masculino,1,sim,sim,8.0,sim,nao,fibra otica,nao,nao,nao,nao,sim,nao,mes a mes,sim,cartao de credito (automatico),80.45,583.45
1643,2398-YPMUR,sim,feminino,1,sim,nao,13.0,sim,nao,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,70.15,916.75
1644,2400-FEQME,nao,masculino,0,sim,sim,55.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,nao,cheque pelo correio,20.5,1177.95
1645,2400-XIWIO,nao,feminino,0,sim,nao,71.0,sim,sim,DSL,sim,sim,sim,sim,sim,sim,dois anos,nao,cheque eletronico,90.1,6310.9
1646,2402-TAIRZ,nao,feminino,0,nao,nao,37.0,sim,nao,fibra otica,nao,sim,sim,nao,nao,nao,um ano,nao,cheque eletronico,80.05,3019.1
1647,2403-BCASL,sim,masculino,1,sim,sim,41.0,sim,sim,fibra otica,nao,sim,sim,sim,sim,sim,um ano,sim,cheque eletronico,111.95,4534.9
1648,2404-JIBFC,nao,feminino,0,sim,sim,55.0,sim,sim,DSL,sim,nao,sim,sim,sim,sim,dois anos,sim,transferencia bancaria (automatica),85.1,4657.95
1649,2405-LBMUW,nao,feminino,0,sim,sim,61.0,nao,sem servico de telefone,DSL,sim,sim,nao,sim,nao,sim,um ano,sim,transferencia bancaria (automatica),50.7,3088.75
1650,2408-PSJVE,nao,masculino,0,sim,sim,44.0,sim,nao,DSL,nao,sim,sim,sim,nao,nao,mes a mes,sim,cheque pelo correio,61.9,2924.05
1651,2408-TZMJL,sim,masculino,0,sim,nao,59.0,sim,sim,fibra otica,sim,sim,sim,nao,sim,sim,um ano,sim,cheque eletronico,110.15,6448.05
1652,2408-WITXK,sim,feminino,1,nao,nao,10.0,nao,sem servico de telefone,DSL,nao,nao,nao,nao,nao,sim,mes a mes,sim,cheque eletronico,34.7,329.8
1653,2410-CIYFZ,nao,masculino,0,nao,sim,2.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,nao,cheque pelo correio,20.4,42.9
1654,2418-TPEUN,nao,feminino,0,sim,sim,56.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,sim,cartao de credito (automatico),19.8,1119.9
1655,2419-FSORS,nao,masculino,0,sim,nao,72.0,sim,sim,fibra otica,nao,sim,sim,sim,sim,sim,dois anos,sim,cheque eletronico,108.4,7719.5
1656,2424-WVHPL,nao,masculino,1,nao,nao,1.0,sim,nao,fibra otica,nao,nao,nao,sim,nao,nao,mes a mes,nao,cheque eletronico,74.7,74.7
1657,2428-HYUNX,nao,masculino,1,sim,nao,44.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,sim,cartao de credito (automatico),19.35,847.25
1658,2428-ZMCTB,nao,masculino,0,nao,nao,10.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,nao,cartao de credito (automatico),19.75,208.25
1659,2429-AYKKO,nao,masculino,0,nao,nao,72.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,nao,transferencia bancaria (automatica),19.85,1434.1
1660,2430-RRYUW,nao,masculino,0,nao,nao,66.0,sim,nao,DSL,sim,sim,nao,nao,nao,nao,um ano,sim,cheque pelo correio,54.8,3465.7
1661,2430-USGXP,sim,masculino,0,sim,nao,24.0,sim,sim,fibra otica,nao,nao,sim,nao,sim,sim,mes a mes,sim,cheque eletronico,101.05,2391.8
1662,2432-TFSMK,nao,masculino,0,nao,nao,18.0,sim,sim,fibra otica,nao,nao,sim,nao,sim,nao,um ano,sim,cartao de credito (automatico),89.6,1633.0
1663,2433-KMEAS,sim,masculino,0,nao,nao,22.0,sim,sim,DSL,sim,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,54.45,1127.35
1664,2434-EEVDB,nao,feminino,0,sim,nao,64.0,sim,sim,fibra otica,sim,nao,sim,nao,sim,nao,dois anos,sim,cartao de credito (automatico),94.6,5948.7
1665,2436-QBZFP,nao,feminino,0,sim,sim,22.0,nao,sem servico de telefone,DSL,nao,sim,nao,nao,sim,nao,mes a mes,nao,cheque eletronico,39.2,849.9
1666,2439-LYPMQ,nao,masculino,1,sim,nao,38.0,sim,sim,fibra otica,nao,sim,sim,nao,sim,sim,mes a mes,sim,cheque eletronico,102.6,4009.2
1667,2439-QKJUL,nao,masculino,0,nao,nao,5.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,nao,cheque pelo correio,20.25,109.8
1668,2446-BEGGB,sim,feminino,1,nao,nao,6.0,sim,sim,fibra otica,nao,sim,nao,nao,sim,sim,mes a mes,sim,cheque eletronico,98.25,560.6
1669,2446-PLQVO,sim,masculino,0,nao,nao,1.0,sim,nao,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,70.3,70.3
1670,2446-ZKVAF,nao,masculino,0,sim,nao,18.0,sim,sim,DSL,nao,sim,nao,nao,nao,nao,mes a mes,nao,cartao de credito (automatico),56.8,1074.65
1671,2450-ZKEED,nao,feminino,0,nao,nao,11.0,sim,nao,DSL,nao,nao,sim,sim,nao,nao,um ano,nao,transferencia bancaria (automatica),53.8,651.55
1672,2451-YMUXS,nao,masculino,1,nao,nao,67.0,sim,sim,DSL,sim,sim,nao,sim,nao,nao,dois anos,sim,transferencia bancaria (automatica),64.55,4250.1
1673,2452-KDRRH,nao,masculino,1,nao,nao,67.0,sim,sim,fibra otica,nao,nao,sim,nao,sim,sim,mes a mes,sim,cartao de credito (automatico),101.4,6841.05
1674,2452-MRMZF,nao,feminino,1,sim,nao,72.0,sim,sim,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,sim,cartao de credito (automatico),25.7,1937.4
1675,2452-SNHFZ,nao,feminino,0,nao,nao,47.0,sim,nao,fibra otica,sim,nao,nao,nao,nao,nao,mes a mes,nao,cartao de credito (automatico),75.45,3545.1
1676,2453-SAFNS,nao,feminino,1,nao,nao,54.0,sim,sim,DSL,nao,sim,nao,sim,sim,nao,um ano,nao,cheque pelo correio,72.1,3886.05
1677,2454-RPBRZ,sim,feminino,1,sim,nao,12.0,sim,sim,fibra otica,nao,sim,sim,nao,sim,nao,mes a mes,sim,cheque eletronico,98.1,1060.2
1678,2455-USLMV,nao,feminino,0,nao,nao,31.0,sim,sim,fibra otica,sim,nao,sim,nao,nao,nao,mes a mes,sim,cartao de credito (automatico),84.75,2613.4
1679,2458-EOMRE,nao,feminino,0,nao,nao,11.0,sim,nao,DSL,sim,nao,sim,nao,nao,sim,mes a mes,nao,transferencia bancaria (automatica),64.05,733.95
1680,2460-FPSYH,sim,feminino,1,nao,nao,40.0,nao,sem servico de telefone,DSL,sim,sim,nao,nao,sim,sim,mes a mes,sim,cheque eletronico,55.8,2109.35
1681,2460-NGXBJ,nao,masculino,1,sim,sim,11.0,sim,sim,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,sim,cartao de credito (automatico),75.2,775.3
1682,2462-XIIJB,sim,masculino,0,nao,nao,5.0,sim,sim,fibra otica,nao,nao,sim,nao,sim,nao,mes a mes,sim,cheque eletronico,92.5,452.7
1683,2465-BLLEU,nao,masculino,0,nao,nao,1.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,sim,cheque pelo correio,19.75,19.75
1684,2466-FCCPT,nao,feminino,0,sim,sim,20.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,um ano,nao,transferencia bancaria (automatica),19.7,395.6
1685,2466-NEJOJ,nao,masculino,0,sim,sim,8.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,nao,cartao de credito (automatico),19.65,169.75
1686,2468-SJFLM,nao,masculino,0,nao,nao,1.0,sim,nao,fibra otica,nao,nao,nao,sim,nao,nao,mes a mes,sim,cheque pelo correio,74.3,74.3
1687,2469-DTSGX,nao,feminino,1,nao,nao,72.0,sim,sim,fibra otica,nao,sim,sim,sim,sim,sim,dois anos,nao,cheque eletronico,111.65,7943.45
1688,2472-OVKUP,sim,masculino,0,sim,nao,6.0,sim,nao,fibra otica,nao,sim,sim,nao,nao,sim,mes a mes,sim,cheque eletronico,91.0,531.0
1689,2474-BRUCM,sim,masculino,1,sim,nao,40.0,sim,sim,fibra otica,sim,nao,nao,nao,sim,sim,mes a mes,nao,cheque eletronico,101.85,4086.3
1690,2474-LCNUE,nao,feminino,0,sim,nao,23.0,sim,sim,DSL,nao,nao,nao,sim,sim,sim,mes a mes,sim,cartao de credito (automatico),73.65,1642.75
1691,2475-MROZF,nao,masculino,0,nao,nao,30.0,sim,sim,fibra otica,sim,sim,sim,sim,nao,nao,mes a mes,sim,cartao de credito (automatico),95.0,2852.4
1692,2476-YGEFM,nao,feminino,0,nao,nao,29.0,sim,sim,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,sim,cartao de credito (automatico),76.0,2215.25
1693,2478-EEWWM,nao,masculino,0,sim,nao,59.0,nao,sem servico de telefone,DSL,nao,nao,nao,nao,sim,sim,mes a mes,sim,cheque eletronico,44.3,2666.75
1694,2479-BRAMR,sim,masculino,1,sim,nao,41.0,sim,sim,fibra otica,sim,nao,sim,nao,nao,nao,mes a mes,sim,transferencia bancaria (automatica),83.75,3273.55
1695,2480-EJWYP,nao,feminino,1,sim,nao,58.0,sim,sim,fibra otica,nao,sim,nao,nao,sim,sim,um ano,sim,transferencia bancaria (automatica),97.8,5458.8
1696,2480-JZOSN,nao,feminino,0,sim,nao,1.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,sim,cheque pelo correio,20.65,20.65
1697,2480-SQIOB,nao,masculino,0,sim,sim,4.0,sim,nao,DSL,nao,nao,nao,nao,nao,nao,mes a mes,nao,cheque eletronico,44.8,169.65
1698,2481-SBOYW,nao,feminino,0,nao,sim,61.0,sim,sim,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,sim,cartao de credito (automatico),25.0,1498.35
1699,2482-CZGBB,sim,masculino,0,nao,nao,10.0,sim,nao,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,70.0,740.0
1700,2483-XSSMZ,nao,feminino,0,nao,nao,39.0,sim,nao,DSL,sim,nao,nao,nao,nao,nao,um ano,sim,cheque eletronico,47.85,1886.4
1701,2484-DGXPZ,sim,feminino,0,sim,sim,31.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,sim,cheque pelo correio,19.55,658.95
1702,2485-ITVKB,sim,feminino,0,sim,nao,2.0,nao,sem servico de telefone,DSL,nao,nao,nao,nao,nao,sim,mes a mes,sim,cheque eletronico,35.1,68.75
1703,2486-WYVVE,nao,masculino,0,sim,nao,31.0,sim,sim,DSL,nao,nao,sim,sim,sim,sim,um ano,sim,cheque pelo correio,79.3,2484.0
1704,2495-INZWQ,sim,masculino,0,nao,nao,4.0,nao,sem servico de telefone,DSL,nao,nao,nao,nao,sim,sim,mes a mes,sim,cheque eletronico,44.55,174.3
1705,2495-KZNFB,nao,feminino,0,nao,nao,33.0,sim,sim,fibra otica,sim,nao,nao,nao,nao,sim,mes a mes,sim,cheque eletronico,90.65,2989.6
1706,2495-TTHBQ,nao,feminino,0,nao,sim,4.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,um ano,sim,cheque pelo correio,20.4,84.75
1707,2498-XLDZR,nao,feminino,0,sim,sim,32.0,sim,nao,DSL,sim,sim,sim,sim,nao,sim,dois anos,nao,cheque pelo correio,73.6,2316.85
1708,2499-AJYUA,nao,feminino,1,sim,nao,72.0,sim,sim,fibra otica,nao,sim,sim,sim,sim,sim,dois anos,sim,cartao de credito (automatico),110.8,7882.25
1709,2501-XWWTZ,nao,masculino,0,nao,nao,11.0,sim,nao,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,nao,cheque eletronico,70.2,760.05
1710,2504-DSHIH,nao,masculino,1,sim,nao,23.0,sim,sim,fibra otica,nao,nao,nao,nao,nao,sim,mes a mes,nao,cheque eletronico,86.8,1975.85
1711,2506-CLAKW,sim,feminino,0,nao,nao,6.0,sim,nao,fibra otica,sim,sim,sim,sim,nao,sim,mes a mes,sim,transferencia bancaria (automatica),98.15,567.45
1712,2506-TNFCO,sim,feminino,1,sim,nao,1.0,sim,nao,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,69.55,69.55
1713,2507-QZPQS,nao,masculino,0,nao,nao,15.0,sim,sim,fibra otica,nao,sim,nao,sim,nao,sim,mes a mes,nao,cheque eletronico,95.7,1451.1
1714,2509-TFPJU,nao,masculino,0,sim,nao,72.0,sim,sim,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,nao,cartao de credito (automatico),25.75,1864.2
1715,2511-ALLCS,nao,feminino,0,sim,sim,35.0,sim,sim,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,nao,transferencia bancaria (automatica),24.3,821.6
1716,2511-MORQY,nao,masculino,0,sim,sim,50.0,sim,sim,DSL,nao,nao,sim,nao,nao,nao,um ano,nao,transferencia bancaria (automatica),54.9,2614.1
1717,2514-GINMM,sim,masculino,0,nao,nao,1.0,sim,nao,fibra otica,nao,nao,nao,nao,sim,nao,mes a mes,sim,cheque eletronico,79.5,79.5
1718,2516-VQRRV,sim,feminino,1,nao,nao,2.0,sim,sim,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,sim,cheque pelo correio,75.45,158.4
1719,2516-XSJKX,nao,feminino,0,sim,sim,41.0,sim,nao,DSL,sim,sim,nao,sim,sim,sim,dois anos,nao,cheque eletronico,78.45,3126.45
1720,2519-ERQOJ,nao,masculino,1,nao,nao,33.0,nao,sem servico de telefone,DSL,nao,nao,sim,sim,sim,sim,mes a mes,sim,cheque eletronico,54.6,1803.7
1721,2519-FAKOD,sim,masculino,0,nao,sim,38.0,sim,sim,fibra otica,nao,nao,sim,nao,sim,sim,mes a mes,sim,transferencia bancaria (automatica),99.25,3777.15
1722,2519-LBNQL,nao,masculino,1,sim,nao,60.0,sim,sim,fibra otica,nao,sim,sim,nao,sim,sim,um ano,sim,cheque eletronico,104.35,6339.45
1723,2519-TWKFS,nao,masculino,0,sim,sim,25.0,sim,sim,DSL,nao,nao,nao,sim,nao,nao,um ano,sim,cheque pelo correio,55.1,1466.1
1724,2520-SGTTA,nao,feminino,0,sim,sim,24.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,nao,cheque pelo correio,20.0,480.0
1725,2521-NPUZR,nao,masculino,0,sim,nao,70.0,sim,nao,fibra otica,sim,sim,sim,sim,nao,sim,dois anos,nao,cartao de credito (automatico),101.0,7085.5
1726,2522-AHJXR,nao,masculino,0,sim,nao,60.0,sim,sim,fibra otica,sim,nao,sim,sim,sim,sim,mes a mes,sim,transferencia bancaria (automatica),109.45,6572.85
1727,2522-WLNSF,nao,feminino,1,sim,nao,34.0,sim,nao,DSL,nao,nao,sim,sim,sim,nao,um ano,nao,transferencia bancaria (automatica),64.2,2106.3
1728,2523-EWWZL,nao,feminino,0,sim,nao,27.0,sim,nao,fibra otica,nao,sim,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,76.1,2093.4
1729,2525-GVKQU,nao,feminino,0,nao,nao,60.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,nao,cheque pelo correio,20.6,1093.0
1730,2528-HFYZX,sim,masculino,1,sim,nao,17.0,sim,nao,fibra otica,nao,sim,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,76.45,1233.4
1731,2530-ENDWQ,sim,feminino,0,sim,nao,71.0,sim,sim,fibra otica,nao,nao,nao,nao,sim,sim,dois anos,sim,transferencia bancaria (automatica),93.7,6585.35
1732,2530-FMFXO,nao,masculino,0,sim,sim,56.0,sim,sim,fibra otica,nao,nao,sim,sim,sim,sim,dois anos,sim,cheque eletronico,103.2,5873.75
1733,2533-QVMSK,sim,masculino,0,sim,nao,61.0,sim,sim,fibra otica,nao,sim,nao,sim,sim,nao,dois anos,sim,cheque eletronico,94.1,5638.3
1734,2533-TIBIX,nao,masculino,0,sim,sim,15.0,nao,sem servico de telefone,DSL,sim,nao,nao,nao,nao,nao,mes a mes,sim,transferencia bancaria (automatica),30.2,469.65
1735,2535-PBCGC,nao,feminino,0,sim,nao,70.0,nao,sem servico de telefone,DSL,sim,sim,sim,sim,sim,sim,dois anos,nao,transferencia bancaria (automatica),64.55,4504.9
1736,2538-OIMXF,nao,feminino,0,nao,sim,1.0,nao,sem servico de telefone,DSL,nao,nao,nao,nao,nao,nao,mes a mes,nao,cheque pelo correio,24.7,24.7
1737,2541-YGPKE,nao,masculino,0,sim,sim,42.0,sim,nao,DSL,sim,nao,nao,sim,nao,sim,um ano,nao,cartao de credito (automatico),63.7,2763.35
1738,2542-HYGIQ,nao,feminino,0,nao,nao,1.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,nao,cartao de credito (automatico),19.95,19.95
1739,2545-EBUPK,nao,feminino,1,nao,nao,2.0,sim,sim,fibra otica,nao,nao,nao,nao,nao,sim,mes a mes,sim,cheque eletronico,84.05,186.05
1740,2545-LXYVJ,nao,masculino,0,sim,nao,72.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,nao,transferencia bancaria (automatica),20.7,1492.1
1741,2546-KZAAT,nao,masculino,0,sim,nao,52.0,sim,nao,DSL,sim,sim,nao,nao,sim,sim,um ano,sim,cheque pelo correio,75.4,3865.45
1742,2550-AEVRU,nao,feminino,0,sim,sim,57.0,sim,nao,DSL,sim,sim,nao,nao,nao,nao,um ano,nao,cheque eletronico,53.45,3053.0
1743,2550-QHZGP,nao,masculino,0,nao,nao,7.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,um ano,nao,cheque pelo correio,19.5,128.6
1744,2558-BUOZZ,nao,masculino,0,nao,nao,47.0,sim,sim,fibra otica,sim,sim,nao,nao,sim,nao,um ano,nao,transferencia bancaria (automatica),94.8,4535.85
1745,2560-PPCHE,nao,feminino,0,nao,nao,65.0,sim,sim,fibra otica,nao,sim,nao,sim,sim,sim,um ano,sim,transferencia bancaria (automatica),105.05,6744.25
1746,2560-QTSBS,nao,feminino,0,sim,sim,72.0,sim,sim,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,um ano,sim,transferencia bancaria (automatica),23.3,1623.15
1747,2560-WBWXF,nao,masculino,0,nao,nao,68.0,sim,sim,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,sim,transferencia bancaria (automatica),24.15,1498.85
1748,2565-JSLRY,sim,masculino,0,nao,nao,1.0,sim,sim,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,sim,cheque pelo correio,24.05,24.05
1749,2568-BRGYX,sim,masculino,0,nao,nao,4.0,sim,nao,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,70.2,237.95
1750,2568-OIADY,sim,feminino,0,sim,nao,37.0,sim,sim,fibra otica,nao,nao,sim,nao,sim,sim,mes a mes,sim,cheque eletronico,99.5,3762.0
1751,2569-WGERO,nao,feminino,0,nao,nao,72.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,dois anos,sim,transferencia bancaria (automatica),21.15,1419.4
1752,2573-GYRUU,nao,masculino,1,sim,nao,48.0,sim,sim,fibra otica,nao,nao,sim,nao,nao,sim,mes a mes,sim,cartao de credito (automatico),91.05,4370.75
1753,2575-GFSOE,sim,feminino,0,sim,sim,7.0,sim,nao,fibra otica,nao,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,69.0,506.9
1754,2576-HXMPA,nao,feminino,0,nao,nao,1.0,sim,nao,nao,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,sem servico de internet,mes a mes,nao,cartao de credito (automatico),19.55,19.55
1755,2577-GVSIL,nao,masculino,0,sim,sim,35.0,sim,sim,DSL,nao,nao,nao,sim,sim,sim,um ano,sim,transferencia bancaria (automatica),73.45,2661.1
1756,2578-JQPHZ,nao,masculino,0,nao,nao,44.0,sim,nao,fibra otica,nao,nao,sim,sim,sim,sim,dois anos,nao,transferencia bancaria (automatica),100.1,4378.35
1757,2580-ASVVY,nao,feminino,0,sim,nao,37.0,nao,sem servico de telefone,DSL,sim,nao,nao,sim,sim,nao,dois anos,nao,cheque eletronico,45.4,1593.1
